Manually,Manually
Successfully,Successfully
Credit,Credit
Debit,Debit
Unknown,Unknown
Invalid request,Invalid request
Export type is missing,Export type is missing
No product found as per your selected parameters.,No product found as per your selected parameters.
Unable to process request,Unable to process request
No category assigned to you.,No category assigned to you.
invalid request,invalid request
Please select product parameters.,Please select product parameters.
No products found to export.,No products found to export.
Vacation is successfully canceled.,Vacation is successfully canceled.
New Vacation successfully created.,New Vacation successfully created.
Your products will be hidden automatically when the vacation starts.,Your products will be hidden automatically when the vacation starts.
Start Date or End Date cannot be less than today.,Start Date or End Date cannot be less than today.
Start Date or End Date cannot be same.,Start Date or End Date cannot be same.
Date range should not be in between of any previous active vacation.,Date range should not be in between of any previous active vacation.
Technical error occurred while validating new vacation.,Technical error occurred while validating new vacation.
The requested vacation's detail not found.,The requested vacation's detail not found.
Marketplace - CRON,Marketplace - CRON
Please enable the low stock notifications functionality first,Please enable the low stock notifications functionality first
Please enable the marketplace module first,Please enable the marketplace module first
Low Stock Notifications Cron Executed Successfully.,Low Stock Notifications Cron Executed Successfully.
"There were some errors executing the low stock notifications cron, please check Log for more details.","There were some errors executing the low stock notifications cron, please check Log for more details."
Please enable the seller vacation functionality first,Please enable the seller vacation functionality first
Vacation Cron Executed Successfully.,Vacation Cron Executed Successfully.
"There were some errors executing the vacation cron, please check Log for more details.","There were some errors executing the vacation cron, please check Log for more details."
View Shipment,View Shipment
Requested order details not Found.,Requested order details not Found.
We can\'t save the shipment right now.,We can\'t save the shipment right now.
Shipment Document Validation Error(s):\n,Shipment Document Validation Error(s):\n
The shipment has been created.,The shipment has been created.
You created the shipping label.,You created the shipping label.
An error occurred while creating shipping label.,An error occurred while creating shipping label.
Cannot save shipment.,Cannot save shipment.
Please enter a comment.,Please enter a comment.
Comment has been added for this shipment.,Comment has been added for this shipment.
Cannot add new comment.,Cannot add new comment.
You sent the shipment.,You sent the shipment.
Cannot send shipment information.,Cannot send shipment information.
Please specify a carrier.,Please specify a carrier.
Please enter a tracking number.,Please enter a tracking number.
Tracking number successfully updated into this shipment.,Tracking number successfully updated into this shipment.
We can\'t initialize shipment for adding tracking number.,We can\'t initialize shipment for adding tracking number.
Cannot add tracking number.,Cannot add tracking number.
Tracking number successfully deleted from this shipment.,Tracking number successfully deleted from this shipment.
We can\'t initialize shipment for delete tracking number.,We can\'t initialize shipment for delete tracking number.
We can\'t delete tracking number.,We can\'t delete tracking number.
We can\'t load track with retrieving identifier right now.,We can\'t load track with retrieving identifier right now.
Quanity updated successfully.,Quanity updated successfully.
Low Stock,Low Stock
Configuration Saved Successfully.,Configuration Saved Successfully.
Seller's Products - Reviews,Seller's Products - Reviews
Pending,Pending
Not Approved,Not Approved
Seller's Account-Orders,Seller's Account-Orders
Seller OrderView,Seller OrderView
You sent the order email.,You sent the order email.
We can\'t send the email order right now.,We can\'t send the email order right now.
This order no longer exists.,This order no longer exists.
There are no shipping documents related to this order.,There are no shipping documents related to this order.
Print Order,Print Order
There are no invoice documents related to this order.,There are no invoice documents related to this order.
Seller List,Seller List
Knowband,Knowband
Marketplace,Marketplace
Email Template Updated successfully.,Email Template Updated successfully.
Best Selling Products,Best Selling Products
 Seller(s) Disabled Successfully, Seller(s) Disabled Successfully
Invalid Request,Invalid Request
Status changed successfully,Status changed successfully
Activated,Activated
Deactivated,Deactivated
Cannot update,Cannot update
Cannot load object,Cannot load object
Seller Approved Successfully,Seller Approved Successfully
Email Templates,Email Templates
Sellers Payout Request,Sellers Payout Request
Product Approval Request,Product Approval Request
Technical error occurred while canceling vacation.,Technical error occurred while canceling vacation.
Seller Reviews,Seller Reviews
%s by %s,%s by %s
The requested seller's review detail not found.,The requested seller's review detail not found.
Import/Export Feature Request List,Import/Export Feature Request List
Settings saved successfully.,Settings saved successfully.
Seller Account Approval Request,Seller Account Approval Request
Seller Vacation List,Seller Vacation List
Transaction detail successfully saved.,Transaction detail successfully saved.
Some error occured. Please try again.,Some error occured. Please try again.
Total of %d record(s) have been updated.,Total of %d record(s) have been updated.
 Seller(s) Disapproved Successfully, Seller(s) Disapproved Successfully
Seller Product List,Seller Product List
